Name,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent
Thai Fish Curry,"c(""onion"", ""fresh cilantro stems"", ""fresh lemongrass"", ""turmeric"", ""fresh ginger"", ""cumin"", ""garlic cloves"", ""sea bass fillet"", ""canned unsweetened coconut milk"", ""bottled clam juice"", ""fresh cilantro"", ""rice"")",498.5,35.4,12.8,35.5
Spinach Phyllo Casserole,"c(""onion"", ""chicken broth"", ""all-purpose flour"", ""skim milk"", ""low-fat cheddar cheese"", ""fresh spinach"", ""frozen spinach"", ""phyllo pastry"", ""olive oil"")",140.6,6.1,8.7,12.7
Mango Salsa,"c(""serrano chili"", ""mango"", ""tamarind pulp"", ""garlic"", ""fresh cilantro"", ""raw red bell pepper"")",100.4,0.5,25.8,1.3
Grilled Pineapple Salsa,"c(""fresh pineapple"", ""anaheim chilies"", ""jalapeno chile"", ""olive oil"")",86.2,2.5,16.7,1.6
Country Fried Yellow Squash,"c(""butter"", ""onions"", ""salt"", ""water"", ""sugar"")",67.7,5.4,4.5,1.2
Tangy Marinated Yellow Squash (No Cooking),"c(""green onion"", ""green pepper"", ""celery"", ""wine vinegar"", ""sugar"", ""salt"", ""pepper"", ""cider vinegar"", ""garlic clove"")",359.6,18.9,46.7,3.0
Secret Salsa,"c(""whole tomatoes"", ""tomato sauce"", ""cumin powder"", ""whole cumin seed"", ""chili powder"", ""msg"", ""onion"")",96.5,5.2,12.5,2.4
Mashed Sweet Potato Pie,"c(""sweet potatoes"", ""eggs"", ""sugar"", ""salt"", ""ginger"", ""nutmeg"", ""vanilla"", ""evaporated milk"", ""butter"")",435.2,29.9,37.9,5.0
Potatoes Tapas in Garlic Mayonnaise (Potatoes Aioli),"c(""salad potatoes"", ""mayonnaise"", ""garlic cloves"", ""parsley"", ""salt"")",184.2,9.9,22.8,2.2
Roasted Tomato and Mint Salsa,"c(""roma tomatoes"", ""garlic clove"", ""lime juice"", ""extra virgin olive oil"", ""cilantro"", ""spearmint"", ""lime zest"", ""orange zest"", ""salt"")",154.8,13.9,8.0,1.7
Raspberry Tapioca With Vanilla Sauce,"c(""frozen raspberries"", ""granulated sugar"", ""lemon, rind of"", ""water"", ""port wine"", ""quick-cooking tapioca"", ""cornstarch"", ""water"", ""vanilla flavoring"", ""salt"", ""milk"", ""water"")",1404.2,25.4,276.6,23.2
Spaetzle - Basic Recipe - Art Culinaire Issue,"c(""eggs"", ""flour"", ""milk"", ""salt"", ""baking powder"")",227.0,4.1,37.5,9.0
Home-Style Meatballs (Albondigas Caseras),"c(""beef"", ""pork"", ""garlic cloves"", ""eggs"", ""nutmeg"", ""salt"", ""pepper"", ""flour"", ""olive oil"", ""onion"", ""green pepper"", ""tomatoes"", ""dry white wine"", ""chicken broth"", ""salt"", ""pepper"")",3702.5,268.9,88.8,200.2
Banana Orange Ice Cream,"c(""bananas"", ""fresh lemon juice"", ""salt"", ""sugar"", ""confectioners' sugar"", ""heavy cream"")",728.9,44.7,84.6,4.6
Kahlua,"c(""water"", ""sugar"", ""instant coffee"", ""vodka"", ""pure vanilla extract"")",1484.0,0.1,220.3,1.3
Apple Crisp,"c(""apple"", ""flour"", ""salt"", ""sugar"", ""egg"", ""baking powder"", ""butter"")",264.8,12.3,37.1,2.5
Apple Crisp II,"c(""flour"", ""brown sugar"", ""oatmeal"", ""baking powder"", ""salt"", ""butter"", ""walnuts"", ""cooking apples"", ""sugar"", ""cinnamon"", ""lemon juice"")",218.8,9.3,34.2,2.0
Fruit-Filled Acorn Squash,"c(""acorn squash"", ""raisins"", ""water"", ""salt"")",242.4,2.6,57.9,3.9
Killer Kahlua,"c(""water"", ""sugar"", ""instant coffee"", ""pure vanilla extract"", ""Monarch 151 rum"")",1751.0,0.2,286.3,5.1
Baked Zucchini Frittatas,"c(""zucchini"", ""onion"", ""red bell pepper"", ""garlic clove"", ""reduced-calorie margarine"", ""1% low-fat milk"", ""salt"", ""monterey jack cheese"", ""fat-free parmesan cheese"")",200.2,12.4,8.1,14.8
Fat-Free Fettuccine Alfredo,"c(""cornstarch"", ""fat free cream cheese"", ""mushroom"", ""scallions"", ""fettuccine"")",361.4,4.1,61.8,19.4
Lemon Chicken,"c(""skinless chicken breast halves"", ""lemons"", ""unbleached flour"", ""salt"", ""fresh pepper"", ""paprika"", ""lemon, rind of"", ""brown sugar"", ""fresh lemon juice"", ""water"", ""lemon"")",232.5,3.4,23.4,27.2
Hawaiian Ham Salad,"c(""smoked ham"", ""pineapple chunks"", ""celery ribs"", ""black olives"", ""mayonnaise"", ""lemon juice"", ""peanuts"")",166.4,11.3,15.8,3.0
Zucchini Frittatas II,"c(""olive oil"", ""onion"", ""garlic"", ""zucchini"", ""salt"", ""pepper"", ""fresh basil"", ""flat-leaf Italian parsley"", ""fat-free parmesan cheese"")",106.0,5.1,9.1,7.2
Mom's First Place Turkey Fruit Salad,"c(""low-fat mayonnaise"", ""honey"", ""ginger"", ""canned mandarin oranges"", ""turkey"", ""apple"", ""grapes"", ""pecan halves"")",140.6,6.1,23.2,1.5
Jarrett House Vinegar Pie,"c(""sugar"", ""butter"", ""eggs"", ""flour"", ""cider vinegar"", ""vanilla"")",400.0,20.8,49.6,4.1
Vinegar Pie,"c(""sugar"", ""flour"", ""lemon zest"", ""cider vinegar"", ""water"", ""eggs"", ""butter"")",178.2,3.3,34.6,2.8
Ham and Cheese Pockets,"c(""mayonnaise"", ""ham slices"", ""swiss cheese"", ""dill pickle slices"", ""mayonnaise"", ""mustard"", ""milk"")",746.5,62.3,46.6,4.9
Super Sandwich,"c(""cucumber"", ""tomatoes"", ""onion"", ""black olives"", ""green olives"", ""ham"", ""pork"", ""muenster cheese"")",638.8,29.8,56.4,35.6
Tiramisu,"c(""sugar"", ""cream cheese"", ""mascarpone"", ""marsala wine"", ""heavy whipping cream"", ""marsala"", ""sugar"", ""water"", ""french-style ladyfinger cookies"")",678.6,32.3,76.5,11.7
Hazelnut Shortbread Cookies,"c(""flour"", ""hazelnuts"", ""butter"", ""light brown sugar"")",111.5,7.5,10.4,1.3
Pecan Shortbread,"c(""flour"", ""pecans"", ""butter"", ""light brown sugar"", ""vanilla extract"")",113.2,6.3,13.6,1.0
Tiramisu - Balducci's in New York City,"c(""ladyfingers"", ""espresso coffee"", ""eggs"", ""sugar"", ""mascarpone"", ""marsala wine"", ""triple sec"", ""brandy"", ""bittersweet chocolate"")",331.3,9.1,40.5,11.1
Sweet Potato Pecan Pie,"c(""sweet potato"", ""butter"", ""margarine"", ""cinnamon"", ""vanilla extract"", ""nutmeg"", ""salt"", ""egg"", ""graham cracker pie crust"", ""egg"", ""dark corn syrup"", ""brown sugar"", ""butter"", ""pecans"")",590.0,30.4,73.5,9.2
Yellow Squash Frittata,"c(""butter"", ""eggs"", ""cheddar cheese"", ""salt"", ""pepper"")",211.5,15.2,4.7,14.4
Yellow Squash Puffs,"c(""egg"", ""all-purpose flour"", ""cornmeal"", ""baking powder"", ""salt"", ""onion"")",109.4,1.8,19.6,4.2
Sun-Dried Tomato Pesto,"c(""sun-dried tomato"", ""boiling water"", ""plum tomato"", ""basil leaves"", ""pine nuts"", ""olive oil"", ""pepper"", ""garlic cloves"")",363.5,26.6,29.6,9.9
Sweet Potato-Pecan Pie,"c(""egg"", ""fresh sweet potatoes"", ""sugar"", ""unsalted butter"", ""margarine"", ""vanilla extract"", ""salt"", ""cinnamon"", ""allspice"", ""nutmeg"", ""eggs"", ""sugar"", ""dark corn syrup"", ""unsalted butter"", ""margarine"", ""vanilla extract"", ""cinnamon"", ""pecan halves"", ""heavy cream"")",323.0,19.6,35.0,3.8
Corn Salsa,"c(""whole kernel corn"", ""green pepper"", ""red bell pepper"", ""red onion"", ""tomatoes"", ""ripe olives"", ""cider"", ""red wine vinegar"", ""pepper"")",131.0,2.3,28.0,4.2
Sweet Potato Custard Pie,"c(""eggs"", ""sugar"", ""salt"", ""nutmeg"", ""cinnamon"", ""milk"", ""raw sweet potato"", ""butter"")",239.7,12.2,27.6,5.4
Zesty Sweet Potato Pie,"c(""Homemade Pie Crust"", ""sweet potatoes"", ""sugar"", ""molasses"", ""eggs"", ""nutmeg"", ""powdered ginger"", ""cinnamon"", ""orange zest"", ""butter"", ""milk"", ""evaporated milk"")",291.7,13.4,38.6,5.1
Avocado Salsa,"c(""frozen corn"", ""ripe olives"", ""red bell pepper"", ""onion"", ""garlic"", ""green olives"", ""lemon juice"", ""white vinegar"", ""cider vinegar"", ""dried oregano"", ""salt"", ""pepper"", ""avocados"")",205.7,14.3,20.6,3.6
Cocoa Espresso Cooler,"c(""espresso blend coffee"", ""vanilla extract"")",276.0,24.4,25.2,9.7
Iced Mochaccino Smoothie,"c(""sugar"", ""milk"", ""vanilla ice cream"", ""frozen yogurt"", ""heavy cream"", ""cinnamon"", ""cocoa powder"")",508.8,26.4,62.1,7.8
Iced Jazzberry Java,"c(""frozen raspberries"", ""granulated sugar"", ""water"", ""coffee"", ""half-and-half"", ""mint sprigs"", ""raspberries"")",204.0,13.1,20.4,2.5
Chocolate Coffee Ice Cream Soda,"c(""chocolate flavored coffee"", ""milk"", ""coffee ice cream"", ""cherries"")",91.0,1.1,19.6,1.0
Very Chocolate Brownies,"c(""butter"", ""sugar"", ""eggs"", ""vanilla"", ""flour"", ""walnuts"", ""water"", ""butter"")",184.1,12.5,18.4,2.2
Balsamic Berry Salsa,"c(""strawberry"", ""full-bodied red wine"", ""sugar"", ""black pepper"")",40.8,0.3,9.0,0.6
Moist Carrot and Raisin Walnut Loaf,"c(""butter"", ""caster sugar"", ""vanilla"", ""golden syrup"", ""eggs"", ""carrots"", ""raisins"", ""walnuts"", ""self raising flour"", ""nutmeg"", ""cinnamon"")",312.2,15.8,40.4,4.8
Sliced Sweet Potato Pie,"c(""sweet potatoes"", ""light brown sugar"", ""cinnamon"", ""nutmeg"", ""ginger"", ""salt"", ""butter"", ""heavy cream"")",305.5,14.2,44.5,1.8
Chocolate and Vanilla Chip Biscotti,"c(""flour"", ""baking powder"", ""sugar"", ""brown sugar"", ""butter"", ""margarine"", ""eggs"")",74.0,2.5,11.8,1.4
Carrot and Orange Loaf,"c(""butter"", ""caster sugar"", ""eggs"", ""sultana"", ""carrot"", ""nutmeg"", ""mixed spice"", ""self raising flour"", ""butter"", ""icing sugar"")",279.9,13.5,38.9,2.9
Linda'a Guadalajara - Style Burritos,"c(""hamburger"", ""onion"", ""cinnamon"", ""chili powder"", ""black pepper"", ""chili sauce"", ""monterey jack cheese"", ""flour tortillas"")",5890.2,215.8,698.1,273.4
Double Chocolate Chunk Biscotti,"c(""butter"", ""margarine"", ""sugar"", ""baking powder"", ""eggs"", ""flour"")",96.9,4.9,12.8,1.8
Dreamy Blueberry Pie,"c(""unsalted butter"", ""water"", ""gelatin"", ""blueberries"", ""fat free cream cheese"", ""light cream cheese"", ""heavy cream"", ""confectioners' sugar"")",423.1,21.1,52.4,8.0
Spaetzle - Hungarian,"c(""flour"", ""eggs"", ""salt"", ""water"")",2944.5,21.6,573.4,96.3
Spaetzle - German,"c(""eggs"", ""flour"", ""butter"", ""milk"", ""salt"")",372.6,12.3,50.8,13.2
Banana Marshmallow Ice Cream (Still-Freeze),"c(""milk"", ""marshmallows"", ""sugar"", ""bananas"", ""fresh lemon juice"", ""heavy cream"")",4680.1,319.1,458.5,33.8
Calzones,"c(""beef"", ""mushroom"")",255.0,26.8,0.0,3.1
Banana Ice Cream I,"c(""sugar"", ""salt"", ""bananas"", ""fresh lemon juice"", ""heavy cream"")",779.5,56.3,66.6,8.1
Iced Cafe Au Lait,"c(""coffee"", ""milk"", ""sugar"")",79.4,4.5,5.7,4.2
Whole Wheat Calzone,"c(""onion"", ""green pepper"", ""garlic clove"", ""chicken breasts"", ""salt"", ""pepper"", ""dried oregano"", ""parmesan cheese"", ""swiss cheese"", ""fresh parsley"", ""egg"", ""water"")",512.5,33.6,5.7,45.1
Creamy Iced Coffee,"c(""brewed coffee"", ""confectioners' sugar"")",64.6,0.1,15.9,0.3
Coffee Punch with Ice Cream Floats,"c(""heavy cream"", ""sugar"", ""chocolate ice cream"", ""coffee ice cream"", ""powdered instant coffee"", ""cinnamon"")",240.4,19.5,15.6,2.5
Chicken and Sausage,"c(""olive oil"", ""chicken breast halves"", ""Italian sausage"", ""green pepper"", ""garlic"", ""water"", ""tomato sauce"", ""cornstarch"", ""water"")",169.9,10.5,7.7,11.3
M&M and Chocolate Chews,"c(""butter"", ""eggs"", ""sugar"", ""vanilla"", ""flour"", ""baking soda"", ""chocolate chips"", ""salt"")",6541.0,339.8,858.5,61.1
Cafe Latte,"""cinnamon""",0.0,0.0,0.0,0.0
No-bake Honey Snacks,"c(""raisins"", ""honey"", ""coconut"")",161.5,6.0,27.9,2.7
Frozen Cappuccino,character(0),3.6,0.3,0.0,0.2
Iced Coffee Cream,"c(""instant coffee"", ""light-brown sugar"", ""boiling water"", ""cinnamon"", ""mixed spice"", ""water"", ""milk"", ""vanilla extract"", ""vanilla ice cream"", ""cocoa powder"", ""cinnamon sticks"", ""lime slice"", ""chocolate"")",284.9,17.6,25.9,5.9
Moussaka,"c(""onions"", ""olive oil"", ""butter"", ""mushrooms"", ""tomatoes"", ""tomato paste"", ""dry red wine"", ""parsley"", ""cinnamon"", ""garlic"", ""oregano"", ""sugar"", ""milk"", ""butter"", ""flour"", ""nutmeg"", ""white pepper"", ""olive oil"", ""eggplants"", ""eggs"", ""ricotta cheese"", ""parmesan cheese"")",367.1,22.6,27.2,13.5
Sweetened Iced Coffee,"c(""instant coffee"", ""coffee"", ""sugar"", ""low calorie sweetener"", ""milk"")",151.3,6.3,17.8,6.1
Fudgie-Wudgies,"c(""margarine"", ""sugar"", ""eggs"", ""vanilla"", ""flour"", ""salt"")",281.8,13.9,37.9,4.6
Deluxe Brownies,"c(""butter"", ""margarine"", ""sugar"", ""vanilla"", ""eggs"", ""flour"")",291.1,17.7,32.8,4.7
Coffee Liqueur (Fake Kahlua),"c(""vodka"", ""water"", ""sugar"", ""brown sugar"", ""dry instant coffee"", ""vanilla"", ""vanilla bean"")",704.0,0.1,122.6,1.2
Sour Cream Carrot Cake,"c(""self raising flour"", ""plain flour"", ""baking soda"", ""cinnamon"", ""nutmeg"", ""brown sugar"", ""carrots"", ""eggs"", ""sour cream"", ""cream cheese"", ""butter"", ""lemon, rind of"", ""icing sugar"")",441.7,23.6,54.4,4.6
Instant Coffee Kahlua,"c(""sugar"", ""water"", ""instant coffee"", ""fresh coffee"", ""vodka"", ""brandy"", ""vanilla extract"")",4621.1,0.1,608.0,1.5
Linda's Tuna Burritos,"c(""tuna"", ""black olives"", ""onion"", ""mild cheddar cheese"", ""flour tortillas"", ""lettuce"", ""chopped tomato"")",471.6,18.2,59.4,16.5
Cheesy Manicotti,"c(""fat free cream cheese"", ""fat-free ricotta cheese"", ""fat free mozzarella cheese"", ""fat free egg substitute"", ""fresh parsley"", ""pepper"", ""fat free parmesan"")",164.5,0.8,21.8,17.0
Pumpkin Bread Pudding with Raisin Nut Bread,"c(""butter"", ""eggs"", ""sugar"", ""sugar"", ""vanilla extract"", ""half-and-half"", ""cinnamon"", ""nutmeg"")",438.5,28.8,38.0,8.2
Chili Non Carne,"c(""onion"", ""garlic cloves"", ""olive oil"", ""chili powder"", ""basil"", ""oregano"", ""cumin"", ""zucchini"", ""carrot"", ""canned tomatoes"", ""kidney beans"", ""kidney beans"", ""onion"", ""tomatoes"", ""green pepper"")",185.4,2.2,33.4,10.4
Golden Apple Bars,"c(""butter"", ""margarine"", ""shortening"", ""powdered sugar"", ""flour"", ""flour"", ""baking powder"", ""salt"", ""apples"", ""butter"", ""brown sugar"", ""lemon zest"", ""lemon zest"", ""egg"", ""vanilla"", ""powdered sugar"", ""cinnamon"", ""milk"")",100.1,3.2,17.1,1.1
Glazed Pineapple With Macadamia Nut Crunch,"c(""pineapple"", ""light brown sugar"", ""salt"", ""unsalted butter"")",234.0,18.5,18.7,1.7
Apple-Cinnamon Bread Pudding,"c(""gala apples"", ""granny smith apples"", ""sugar"", ""cinnamon"", ""butter"", ""margarine"", ""eggs"", ""vanilla extract"")",210.1,8.1,29.5,6.1
Tomato Salad,"c(""tomatoes"", ""corn kernel"", ""green onions"", ""fresh basil"", ""parsley"")",106.1,1.0,24.1,3.8
"Vidalia Onion, Tomato and Basil Salad","c(""tomatoes"", ""lowfat mozzarella cheese"", ""olive oil"", ""wine vinegar"", ""basil"", ""pepper"", ""garlic"")",237.2,19.7,5.9,10.1
Blue Mountain Blueberry Pie,"c(""blueberries"", ""lemon juice"", ""sugar"", ""all-purpose flour"", ""lemon zest"", ""cinnamon"", ""nutmeg"", ""salt"", ""margarine"")",155.8,3.2,32.9,1.0
Cherry-Pistachio Biscotti,"c(""flour"", ""sugar"", ""lime peel"", ""baking powder"", ""butter"", ""dried tart cherry"", ""eggs"", ""pistachio nuts"")",40.4,1.6,5.6,1.0
Orange Hazelnut Biscotti,"c(""flour"", ""baking powder"", ""baking soda"", ""salt"", ""olive oil"", ""eggs"", ""sugar"", ""toasted hazelnuts"", ""bittersweet chocolate"", ""shortening"")",91.3,3.8,13.0,1.8
Alaskan Blueberry Pie,"c(""sugar"", ""cornstarch"", ""water"", ""blueberries"", ""butter"", ""lemon juice"", ""lemon, rind of"", ""blueberries"")",259.5,9.1,44.4,1.8
Calzones II,"c(""part-skim ricotta cheese"", ""mozzarella cheese"", ""ham"", ""ham"", ""oregano leaves"")",289.5,14.5,17.9,21.5
Tamarillo Steak Casserole,"c(""flour"", ""bacon"", ""tamarillos"", ""onions"", ""potatoes"", ""butter"")",198.1,9.3,12.1,16.0
Fha Chicken Chilies Casserole,"c(""chicken breasts"", ""milk"", ""tortillas"", ""green chilies"", ""cheddar cheese"")",1078.3,54.6,81.7,62.5
Apricot Chicken Casserole,"c(""chicken drumsticks"", ""cornflour"", ""ground ginger"", ""apricot puree"", ""chives"")",298.9,13.0,14.3,29.8
Luscious Applesauce Bars,"c(""brown sugar"", ""butter"", ""unsweetened applesauce"", ""egg"", ""flour"", ""baking soda"", ""cinnamon"", ""salt"", ""ground cloves"", ""ground nutmeg"", ""butter"", ""brown sugar"", ""powdered sugar"")",122.7,5.1,18.5,1.1
Remarkable Rhubarb Bites,"c(""rhubarb"", ""sugar"", ""shortening"", ""brown sugar"", ""egg"", ""baking soda"", ""salt"", ""cinnamon"", ""flour"", ""vanilla"", ""confectioners' sugar"")",148.4,4.6,25.9,1.4
English Sherry Trifle,"c(""sherry wine"", ""bananas"", ""fresh strawberries"", ""frozen strawberries"", ""eggs"", ""lemon juice"", ""sugar"", ""flour"", ""butter"", ""salt"")",5527.5,238.5,744.8,85.6
M&amp;m Super Snack Bars,"c(""granulated sugar"", ""brown sugar"", ""margarine"", ""butter"", ""vanilla"", ""eggs"", ""all-purpose flour"", ""pecans"", ""quick-cooking oats"", ""baking soda"", ""baking powder"", ""salt"")",143.0,7.2,18.3,1.9
Spice Scones,"c(""all-purpose flour"", ""ginger"", ""nutmeg"", ""vegetable shortening"", ""light brown sugar"", ""molasses"", ""brandy"")",23.6,1.3,2.9,0.0
Fruit Loop Cookies and Orange Icing,"c(""butter"", ""shortening"", ""sugar"", ""brown sugar"", ""eggs"", ""all-purpose flour"", ""confectioners' sugar"")",103.5,5.7,12.5,0.8
Gado Gado: Indonesian Salad,"c(""water"", ""salt"", ""green cabbage"", ""Chinese cabbage"", ""bean sprouts"", ""green beans"", ""potatoes"", ""eggs"", ""English cucumber"")",139.6,2.7,23.3,8.1
Greek Lemon Potatoes,"c(""potato"", ""olive oil"", ""lemon"", ""water"", ""garlic"", ""bay leaves"", ""rosemary sprigs"", ""fresh thyme"", ""dried oregano"", ""sugar"", ""parsley"")",176.3,4.7,31.2,3.7
Pastitsio,"c(""butter"", ""nutmeg"", ""flour"", ""salt"", ""milk"", ""white pepper"", ""macaroni"", ""butter"", ""salt"", ""onion"", ""pepper"", ""ground beef"", ""cinnamon"", ""tomato paste"", ""red wine"", ""parmesan cheese"", ""nutmeg"")",604.4,34.6,41.3,27.0
Summer Corn and Tomato Pasta,"c(""fresh corn kernels"", ""frozen corn kernels"", ""tomatoes"", ""black beans"", ""fresh coriander"", ""basil"", ""extra virgin olive oil"", ""garlic clove"", ""green onions"", ""salt"", ""pepper"", ""penne"", ""feta cheese"")",324.6,9.4,52.1,11.7
Lentil Dal,"c(""olive oil"", ""onion"", ""fresh ginger"", ""cumin seed"", ""turmeric"", ""garlic cloves"", ""cauliflower florets"", ""tomatoes"", ""water"", ""dried lentils"", ""fresh lime juice"", ""fresh cilantro"", ""salt"", ""cooked basmati rice"", ""long grain rice"")",376.4,3.4,72.0,14.3
Macadamia Nut Lemon Squares,"c(""flour"", ""butter"", ""margarine"", ""eggs"", ""brown sugar"", ""baking powder"", ""vanilla"", ""granola-type cereal"", ""powdered sugar"", ""lemon juice"", ""lemon, rind of"")",234.6,12.2,29.5,3.2
Basic Crepes II,"c(""eggs"", ""flour"", ""milk"", ""butter"", ""salt"")",100.1,4.5,11.0,3.6
Basic Crepes,"c(""flour"", ""eggs"", ""butter"", ""milk"", ""salt"")",102.3,4.4,11.4,3.9
Mississippi Mud Pie,"c(""margarine"", ""flour"", ""confectioners' sugar"", ""Cool Whip"", ""cream cheese"", ""instant chocolate pudding mix"", ""instant vanilla pudding"", ""milk"", ""chocolate"")",1357.2,84.0,139.0,18.6
Couscous Cakes With Tomato-Garlic Ragout,"c(""water"", ""salt"", ""black pepper"", ""couscous"", ""eggs"", ""unbleached white flour"", ""parsley"", ""blue cheese"", ""olive oil"", ""onion"", ""garlic cloves"", ""plum tomatoes"", ""white wine"", ""water"", ""salt"", ""black pepper"", ""olive oil"")",363.4,9.2,53.3,13.0
Galaktoboureko - Greek Custard Pastry,"c(""phyllo dough"", ""milk"", ""sugar"", ""fine semolina"", ""butter"", ""vanilla extract"", ""salt"", ""eggs"", ""sugar"", ""water"", ""lemon juice"", ""lemon peel"")",582.9,18.5,92.2,12.4
Cappuccino Coffee Mix,"c(""instant coffee granules"", ""granulated sugar"", ""cinnamon"")",54.3,2.2,8.0,0.7
Frosty Latte Smoothie,"c(""brewed coffee"", ""2% low-fat milk"", ""skim milk"", ""honey"")",96.1,1.2,20.3,2.2
Whipped Cappuccino,"c(""instant espresso powder"", ""water"")",252.8,6.7,42.9,6.4
Spanakopita,"c(""spinach"", ""salt"", ""butter"", ""onion"", ""scallion"", ""dill"", ""parsley"", ""evaporated milk"", ""eggs"", ""phyllo pastry"", ""butter"", ""feta cheese"")",695.0,48.9,44.9,23.4
Dublin Coddle II,"c(""pork sausage"", ""smoked ham"", ""boiling water"", ""yellow onions"", ""potatoes"", ""parsley"")",536.2,32.6,24.9,35.2
Maple Salmon,"c(""salmon fillets"", ""maple syrup"", ""soy sauce"", ""sesame seeds"")",561.8,14.1,37.2,69.0
Irish Dark Soda Bread,"c(""all-purpose flour"", ""whole wheat flour"", ""baking soda"", ""baking powder"", ""brown sugar"", ""buttermilk"")",158.4,0.8,32.5,5.7
Fire Ant Mound,"c(""confectioners' sugar"", ""butter"", ""instant vanilla pudding"", ""extra thick Cool Whip topping"", ""milk"", ""cream cheese"", ""vanilla extract"")",7761.9,504.5,754.9,88.5
Seared Salmon with Horseradish Tomato Vinaigrette,"c(""salmon fillets"", ""canola oil"", ""butter"", ""rosemary"", ""tarragon"", ""thyme"", ""salt"", ""black pepper"", ""white wine"", ""honey"", ""roma tomatoes"", ""tomato paste"", ""Dijon mustard"", ""black peppercorns"", ""tarragon"", ""extra virgin olive oil"")",797.3,38.2,36.2,71.3
Apricot Chicken With Pasta,"c(""onion"", ""garlic cloves"", ""chicken breasts"", ""apricots"", ""malt vinegar"", ""ginger"", ""cayenne pepper"", ""salt"", ""black pepper"", ""fettuccine"")",1213.5,30.0,173.5,62.3
Luscious Apricot Squares,"c(""all-purpose flour"", ""butter"", ""margarine"", ""sugar"", ""light brown sugar"", ""eggs"", ""walnuts"", ""baking powder"", ""vanilla"", ""salt"", ""confectioners' sugar"")",199.5,8.9,28.6,2.7
Drop Scones,"c(""eggs"", ""milk"", ""flour"", ""sugar"", ""baking soda"", ""cream of tartar"")",370.3,10.4,50.1,17.4
English Trifle,"c(""sugar"", ""cornstarch"", ""eggs"", ""low-fat milk"", ""real vanilla extract"", ""ladyfinger"", ""sherry wine"", ""raspberries"", ""strawberry syrup"", ""fresh raspberry"", ""strawberry"", ""heavy cream"")",347.8,20.5,33.8,6.4
Forepaughs English Trifle,"c(""sugar"", ""cornstarch"", ""milk"", ""butter"", ""vanilla"", ""red raspberries"", ""sugar"", ""dry sherry"", ""frozen strawberries"", ""sugar"")",874.5,41.2,116.0,13.6
Best 7-Up Pound Cake,"c(""butter"", ""margarine"", ""shortening"", ""sugar"", ""eggs"", ""unbleached flour"", ""vanilla extract"")",1125.1,52.4,152.3,12.0
Italian Sausage Soup,"c(""onions"", ""garlic cloves"", ""beef broth"", ""Italian sausage"", ""dry red wine"", ""Italian-style tomatoes"", ""basil"", ""sugar"", ""green pepper"", ""zucchini"", ""dry bow tie pasta"", ""parsley"")",506.7,22.2,44.8,22.6
Olive Garden Pasta E Fagioli,"c(""ground beef"", ""carrots"", ""onions"", ""celery"", ""canned tomatoes"", ""red kidney beans"", ""white kidney beans"", ""oregano"", ""pepper"", ""fresh parsley"", ""Tabasco sauce"", ""dry pasta shell macaroni"")",506.2,18.9,52.8,31.6
Glazed Apples With Cream Sauce,"c(""apples"", ""butter"", ""margarine"", ""brown sugar"", ""lemon"", ""calvados"", ""cinnamon"", ""nutmeg"", ""heavy cream"", ""powdered sugar"", ""nutmeg"")",646.6,39.9,78.3,2.3
Tomato and Herb Salad,"c(""roma tomato"", ""cucumber"", ""purple onion"", ""of fresh mint"", ""fresh basil"", ""fresh parsley"", ""salt"", ""black pepper"", ""plain nonfat yogurt"")",34.5,0.3,7.2,1.9
Katjang Sauce: Peanut Sauce,"c(""onion"", ""garlic cloves"", ""brown sugar"", ""sambal oelek"", ""mild paprika"", ""ginger powder"", ""crunchy peanut butter"", ""ketjap manis"", ""milk"", ""lemon juice"")",1095.5,88.8,48.5,46.0
Colcannon,"c(""kale"", ""olive oil"", ""water"", ""potatoes"", ""water"", ""leek"", ""milk"", ""mace"", ""butter"", ""parsley"")",311.1,19.9,30.1,6.8
Amazing Nasi Goreng,"c(""long grain rice"", ""smoked bacon"", ""chicken"", ""onion"", ""garlic cloves"", ""carrot"", ""cabbage"", ""water"", ""leek"", ""trassi oedang"", ""ketjap manis"", ""cumin"", ""curcumae"", ""sambal oelek"", ""salt"")",430.5,16.4,60.2,10.4
Irish Soda Bread,"c(""all-purpose flour"", ""baking soda"", ""baking powder"", ""cornstarch"", ""sugar"", ""salt"", ""buttermilk"")",1551.8,6.4,317.1,48.9
Butter Crepes,"c(""eggs"", ""flour"", ""milk"", ""butter"", ""salt"")",116.5,6.6,10.8,3.4
Couscous with Currants and Cumin,"c(""water"", ""couscous"", ""currants"", ""olive oil"", ""onion"", ""garlic"", ""fresh ginger"", ""cumin seed"", ""orange"", ""fresh coriander"", ""salt"")",1045.2,11.1,213.2,27.9
Lemonade,"c(""lemons"", ""sugar"", ""water"", ""mint"", ""lemon slice"")",32.8,0.1,9.0,0.3
Quick Spanish Couscous Salad,"c(""stuffed green olive"", ""tomatoes"", ""garlic"", ""dried leaf thyme"", ""oregano"", ""couscous"")",442.6,0.8,91.3,15.2
Curried Peanut Shrimp,"c(""orange marmalade"", ""Dijon mustard"", ""curry powder"", ""salt"", ""shrimp"")",121.5,1.9,20.4,7.0
Dutch Split Pea Soup,"c(""leek"", ""bacon"", ""celery"", ""onion"", ""parsley"", ""green peas"", ""chicken broth"", ""kielbasa"")",556.4,39.2,28.1,22.7
